名前,ふりがな,会派,選挙区,生年月日,任期,表面キャラ,本質キャラ,意思決定キャラ,隠れキャラ,希望キャラ,役職,プロフィール文,顔写真ファイル
足立 康史,あだち やすし,自民,比例代表選出／令和7年／当選 1 回,1965/10/14,令和13年7月28日,くろひょう,こじか,ゾウ,たぬき,ペガサス,"令和7年12月13日現在
総務委員会
議院運営委員会
政治改革に関する特別委員会
憲法審査会",,241_足立 康史.jpg
安達 悠司,あだち ゆうじ,自民,比例代表選出／令和7年／当選 1 回,1982/6/29,令和13年7月28日,ペガサス,ひつじ,たぬき,猿,こじか,"令和7年12月13日現在
法務委員会
議院運営委員会
沖縄・北方問題及び地方に関する特別委員会
憲法審査会（幹）",,242_安達 悠司.jpg
安藤 裕,あんどう ひろし,参政,比例代表選出／令和7年／当選 1 回,1965/3/28,令和13年7月28日,ペガサス,ゾウ,ゾウ,ペガサス,子守熊,"令和7年12月13日現在
国土交通委員会
予算委員会",,243_安藤 裕.jpg
安野 貴博,あんの たかひろ,無所属,比例代表選出／令和7年／当選 1 回,1990/12/1,令和13年7月28日,子守熊,ゾウ,チーター,くろひょう,ゾウ,"令和7年12月13日現在
総務委員会",,244_安野 貴博.jpg
石井 めぐみ,いしい めぐみ,維新,比例代表選出／令和7年／当選 1 回,1958/10/18,令和13年7月28日,ひつじ,くろひょう,ひつじ,狼,ゾウ,"令和7年12月13日現在
国土交通委員会
予算委員会
こども・子育て・若者活躍に関する特別委員会",,245_石井 めぐみ.jpg
泉 房穂,いずみ ふさほ,立憲,選挙区（兵庫県）選出／令和7年／当選 1 回,1963/8/19,令和13年7月28日,ペガサス,ゾウ,虎,ゾウ,たぬき,"令和7年12月13日現在
法務委員会
行政監視委員会
こども・子育て・若者活躍に関する特別委員会
国民生活・経済に関する調査会",,246_泉 房穂.jpg
伊勢崎 賢治,いせざき けんじ,れ新,比例代表選出／令和7年／当選 1 回,1957/7/6,令和13年7月28日,ライオン,子守熊,猿,子守熊,ゾウ,"令和7年12月13日現在
内閣委員会
決算委員会
沖縄・北方問題及び地方に関する特別委員会
国際問題に関する調査会",,247_伊勢崎 賢治.jpg
伊藤 辰夫,いとう たつお,民主,比例代表選出／令和7年／当選 1 回,1938/3/11,令和13年7月28日,ゾウ,子守熊,子守熊,こじか,子守熊,"令和7年12月13日現在
環境委員会
災害対策及び東日本大震災復興特別委員会（理）
資源エネルギー・持続可能社会に関する調査会",,248_伊藤 辰夫.jpg
岩本 麻奈,いわもと まな,参政,比例代表選出／令和7年／当選 1 回,1964/12/4,令和13年7月28日,狼,狼,たぬき,たぬき,こじか,"令和7年12月13日現在
厚生労働委員会
デジタル社会の形成及び人工知能の活用等に関する特別委員会
情報監視審査会",,249_岩本 麻奈.jpg
いんどう 周作,いんどう しゅうさく,自民,比例代表選出／令和7年／当選 1 回,1923/3/27,令和13年7月28日,子守熊,狼,狼,くろひょう,こじか,"令和7年12月13日現在
総務委員会
議院運営委員会
災害対策及び東日本大震災復興特別委員会
国民生活・経済に関する調査会
憲法審査会",,250_いんどう 周作.jpg
上野 ほたる,うえの ほたる,維新,比例代表選出／令和7年／当選 1 回,1932/4/3,令和13年7月28日,虎,ゾウ,ペガサス,ゾウ,こじか,"令和7年12月13日現在
経済産業委員会
デジタル社会の形成及び人工知能の活用等に関する特別委員会
国民生活・経済に関する調査会",,251_上野 ほたる.jpg
牛田 茉友,うしだ まゆ,民主,選挙区（東京都）選出／令和7年／当選 1 回,1985/6/8,令和13年7月28日,虎,猿,こじか,猿,くろひょう,"令和7年12月13日現在
内閣委員会
予算委員会
北朝鮮による拉致問題等に関する特別委員会",,252_牛田 茉友.jpg
江原 くみ子,えはら くみこ,民主,選挙区（埼玉県）選出／令和7年／当選 1 回,2020/1/3,令和13年7月28日,子守熊,チーター,ゾウ,狼,猿,"令和7年12月13日現在
財政金融委員会
決算委員会
消費者問題に関する特別委員会",,253_江原 くみ子.jpg
大津 力,おおつ つとむ,参政,選挙区（埼玉県）選出／令和7年／当選 1 回,1971/9/8,令和13年7月28日,ゾウ,子守熊,ペガサス,虎,猿,"令和7年12月13日現在
内閣委員会
行政監視委員会
政府開発援助及び国際協力・人道支援等に関する特別委員会
国際問題に関する調査会（理）",,254_大津 力.jpg
岡崎 太,おかざき ふとし,維新,選挙区（大阪府）選出／令和7年／当選 1 回,1967/11/18,令和13年7月28日,ペガサス,ひつじ,たぬき,くろひょう,狼,"令和7年12月13日現在
内閣委員会
議院運営委員会
政府開発援助及び国際協力・人道支援等に関する特別委員会",,255_岡崎 太.jpg
奥田 ふみよ,おくだ ふみよ,れ新,比例代表選出／令和7年／当選 1 回,1965/5/12,令和13年7月28日,ライオン,猿,ライオン,狼,ゾウ,"令和7年12月13日現在
総務委員会
行政監視委員会
デジタル社会の形成及び人工知能の活用等に関する特別委員会",,256_奥田 ふみよ.jpg
奥村 祥大,おくむら よしひろ,民主,選挙区（東京都）選出／令和7年／当選 1 回,1983/5/9,令和13年7月28日,虎,猿,狼,ライオン,ひつじ,"令和7年12月13日現在
総務委員会
決算委員会
資源エネルギー・持続可能社会に関する調査会（理）",,257_奥村 祥大.jpg
尾辻 朋実,おつじ ともみ,無所属,選挙区（鹿児島県）選出／令和7年／当選 1 回,1940/10/2,令和13年7月28日,ゾウ,猿,くろひょう,猿,子守熊,"令和7年12月13日現在
環境委員会",,258_尾辻 朋実.jpg
かごしま 彰宏,かごしま あきひろ,民主,選挙区（神奈川県）選出／令和7年／当選 1 回,2011/5/20,令和13年7月28日,チーター,ゾウ,ライオン,虎,たぬき,"令和7年12月13日現在
農林水産委員会（理）
政治改革に関する特別委員会
国民生活・経済に関する調査会",,259_かごしま 彰宏.jpg
かまやち 敏,かまやち さとし,自民,比例代表選出／令和7年／当選 1 回,1953/7/5,令和13年7月28日,ライオン,虎,虎,こじか,ライオン,"令和7年12月13日現在
厚生労働委員会
決算委員会
災害対策及び東日本大震災復興特別委員会
国民生活・経済に関する調査会
憲法審査会",,260_かまやち 敏.jpg
川村 雄大,かわむら ゆうだい,公明,選挙区（東京都）選出／令和7年／当選 1 回,1984/6/29,令和13年7月28日,ゾウ,ゾウ,チーター,ゾウ,ライオン,"令和7年12月13日現在
厚生労働委員会
議院運営委員会
消費者問題に関する特別委員会
国民生活・経済に関する調査会",,261_川村 雄大.jpg
北村 晴男,きたむら はるお,保守,比例代表選出／令和7年／当選 1 回,1956/3/10,令和13年7月28日,チーター,狼,子守熊,猿,虎,"令和7年12月13日現在
法務委員会
行政監視委員会
北朝鮮による拉致問題等に関する特別委員会",,262_北村 晴男.jpg
見坂 茂範,けんざか しげのり,自民,比例代表選出／令和7年／当選 1 回,1968/7/18,令和13年7月28日,くろひょう,ひつじ,チーター,虎,子守熊,"令和7年12月13日現在
国土交通委員会
行政監視委員会
災害対策及び東日本大震災復興特別委員会
資源エネルギー・持続可能社会に関する調査会",,263_見坂 茂範.jpg
郡山 りょう,こおりやま りょう,立憲,比例代表選出／令和7年／当選 1 回,2010/4/30,令和13年7月28日,こじか,たぬき,ペガサス,虎,子守熊,"令和7年12月13日現在
厚生労働委員会
決算委員会
デジタル社会の形成及び人工知能の活用等に関する特別委員会
資源エネルギー・持続可能社会に関する調査会",,264_郡山 りょう.jpg
小島 とも子,こじま ともこ,立憲,選挙区（三重県）選出／令和7年／当選 1 回,1963/2/1,令和13年7月28日,たぬき,ゾウ,虎,虎,こじか,"令和7年12月13日現在
内閣委員会
予算委員会
こども・子育て・若者活躍に関する特別委員会
資源エネルギー・持続可能社会に関する調査会",,265_小島 とも子.jpg
後藤 翔太,ごとう しょうた,参政,比例代表選出／令和7年／当選 1 回,1983/1/7,令和13年7月28日,たぬき,こじか,ひつじ,猿,こじか,"令和7年12月13日現在
文教科学委員会
国家基本政策委員会
消費者問題に関する特別委員会
資源エネルギー・持続可能社会に関する調査会（理）",,266_後藤 翔太.jpg
後藤 斎,ごとう ひとし,民主,選挙区（山梨県）選出／令和7年／当選 1 回,1957/7/22,令和13年7月28日,こじか,こじか,ペガサス,猿,ゾウ,"令和7年12月13日現在
国土交通委員会（理）
行政監視委員会
政治改革に関する特別委員会",,267_後藤 斎.jpg
小林 孝一郎,こばやし こういちろう,自民,選挙区（岡山県）選出／令和7年／当選 1 回,1977/8/8,令和13年7月28日,チーター,猿,虎,ライオン,チーター,"令和7年12月13日現在
財政金融委員会
決算委員会
災害対策及び東日本大震災復興特別委員会
国民生活・経済に関する調査会",,268_小林 孝一郎.jpg
小林 さやか,こばやし さやか,民主,選挙区（千葉県）選出／令和7年／当選 1 回,1983/9/5,令和13年7月28日,子守熊,子守熊,ペガサス,虎,ひつじ,"令和7年12月13日現在
法務委員会
行政監視委員会
こども・子育て・若者活躍に関する特別委員会（理）",,269_小林 さやか.jpg
櫻井 祥子,さくらい しょうこ,参政,選挙区（茨城県）選出／令和7年／当選 1 回,1984/1/31,令和13年7月28日,くろひょう,チーター,猿,チーター,狼,"令和7年12月13日現在
経済産業委員会
決算委員会
北朝鮮による拉致問題等に関する特別委員会",,270_櫻井 祥子.jpg
櫻井 充,さくらい みつる,自民,選挙区（宮城県）選出／平成10年、16年、22年、28年、令和4年／当選 5 回,1956/5/12,令和13年7月28日,虎,子守熊,チーター,子守熊,猿,"令和7年12月13日現在
財政金融委員会
災害対策及び東日本大震災復興特別委員会
政治改革に関する特別委員会（長）","１９５６年仙台市生まれ。仙台第一高等学校を経て、１９８５年東京医科歯科大学医学部卒業。１９９３年東北大学医学部大学院卒業。東北大附属病院第一内科医員、国立療養所岩手病院勤務の後、１９９６年、同第二内科医長となる○アレルギー疾患や呼吸器疾患、拒食症、ひきこもり、不登校の子供たちの心の治療にあたる○医学博士。日本アレルギー学会会員○地域金融の円滑化に関する法案、シックハウス対策二法案を立案提出、また、歯科医療改革案をとりまとめる○超党派の薬害ヤコブ病問題を考える議員の会の事務局長を務め、和解締結を後押しする○元金融問題及び経済活性化に関する特別委員長○元財務副大臣、元厚生労働副大臣○著書「新・破れない殻」などを出版
（令和４年１１月３０日現在）",271_櫻井 充.jpg
佐々木 雅文,ささき まさふみ,公明,比例代表選出／令和7年／当選 1 回,1981/1/4,令和13年7月28日,虎,狼,猿,ゾウ,ひつじ,"令和7年12月13日現在
農林水産委員会
予算委員会
災害対策及び東日本大震災復興特別委員会（理）
憲法審査会",,272_佐々木 雅文.jpg
佐々木 りえ,ささき りえ,維新,選挙区（大阪府）選出／令和7年／当選 1 回,1982/8/24,令和13年7月28日,チーター,子守熊,こじか,子守熊,たぬき,"令和7年12月13日現在
農林水産委員会
政治改革に関する特別委員会",,273_佐々木 りえ.jpg
里見 隆治,さとみ りゅうじ,公明,選挙区（愛知県）選出／平成28年、令和4年／当選 2 回,1967/10/17,令和13年7月28日,こじか,ライオン,ひつじ,こじか,ひつじ,"令和7年12月13日現在
外交防衛委員会（長）
行政監視委員会","昭和４２年１０月１７日大阪市生まれ、関西創価高校を経て、平成３年東京大学経済学部卒業○平成３年労働省入省○在英国日本国大使館一等書記官、厚生労働省国会連絡室長、内閣官房地域活性化統合事務局参事官、厚生労働省大臣官房参事官等を歴任、トヨタ自動車（株）（官民交流）を経て、平成２７年退官○平成２８年参議院愛知選挙区初当選、令和４年再選○参議院議院運営委員会理事、決算委員会理事、国民生活・経済調査会理事、予算委員、経済産業委員、財政金融委員、国土交通委員、農林水産委員、内閣委員等及び裁判官訴追委員を歴任○公明党労働局長、同決算・行政監視部会長、同経済産業部会長代理等を歴任○現在経済産業大臣政務官・内閣府大臣政務官・復興大臣政務官。公明党愛知県本部代表。日本語教育推進議員連盟事務局長、協同労働推進議員連盟事務局長。防災士、認知症サポーター○著書「愛知の未来をつくる」「愛知から日本の未来をひらく」
（令和４年１１月３０日現在）",274_里見 隆治.jpg
塩入 清香,しおいり さやか,参政,選挙区（東京都）選出／令和7年／当選 1 回,1982/7/7,令和13年7月28日,たぬき,ペガサス,くろひょう,ゾウ,ライオン,"令和7年12月13日現在
財政金融委員会
災害対策及び東日本大震災復興特別委員会
憲法審査会",,275_塩入 清香.jpg
白川 容子,しらかわ ようこ,共産,比例代表選出／令和7年／当選 1 回,1966/4/14,令和13年7月28日,こじか,猿,ペガサス,ひつじ,猿,"令和7年12月13日現在
厚生労働委員会
国民生活・経済に関する調査会",,276_白川 容子.jpg
杉本 純子,すぎもと じゅんこ,参政,選挙区（愛知県）選出／令和7年／当選 1 回,1977/7/23,令和13年7月28日,たぬき,ゾウ,ゾウ,ペガサス,ライオン,"令和7年12月13日現在
農林水産委員会
災害対策及び東日本大震災復興特別委員会
国際問題に関する調査会",,277_杉本 純子.jpg
鈴木 大地,すずき だいち,自民,選挙区（東京都）選出／令和7年／当選 1 回,1967/3/10,令和13年7月28日,猿,子守熊,ひつじ,くろひょう,チーター,"令和7年12月13日現在
文教科学委員会
議院運営委員会
デジタル社会の形成及び人工知能の活用等に関する特別委員会
国際問題に関する調査会",,278_鈴木 大地.jpg
石 平,せき へい,維新,比例代表選出／令和7年／当選 1 回,1962/1/30,令和13年7月28日,こじか,くろひょう,こじか,狼,こじか,"令和7年12月13日現在
外交防衛委員会（理）
沖縄・北方問題及び地方に関する特別委員会
国際問題に関する調査会",,279_石 平.jpg
高良 沙哉,たから さちか,沖縄,選挙区（沖縄県）選出／令和7年／当選 1 回,1979/1/16,令和13年7月28日,くろひょう,ひつじ,ペガサス,猿,くろひょう,"令和7年12月13日現在
環境委員会
デジタル社会の形成及び人工知能の活用等に関する特別委員会",,280_高良 沙哉.jpg
司 隆史,つかさ たかし,公明,比例代表選出／令和7年／当選 1 回,1979/12/15,令和13年7月28日,狼,くろひょう,たぬき,ひつじ,くろひょう,"令和7年12月13日現在
内閣委員会
決算委員会
デジタル社会の形成及び人工知能の活用等に関する特別委員会",,281_司 隆史.jpg
出川 桃子,でがわ ももこ,自民,選挙区（鳥取県・島根県）選出／令和7年／当選 1 回,1964/2/13,令和13年7月28日,子守熊,ひつじ,ひつじ,ペガサス,チーター,"令和7年12月13日現在
総務委員会
議院運営委員会
デジタル社会の形成及び人工知能の活用等に関する特別委員会
資源エネルギー・持続可能社会に関する調査会
憲法審査会",,282_出川 桃子.jpg
中田 優子,なかだ ゆうこ,参政,選挙区（福岡県）選出／令和7年／当選 1 回,2012/7/27,令和13年7月28日,くろひょう,ひつじ,たぬき,虎,子守熊,"令和7年12月13日現在
環境委員会（理）
予算委員会
こども・子育て・若者活躍に関する特別委員会",,283_中田 優子.jpg
新実 彰平,にいみ しょうへい,維新,選挙区（京都府）選出／令和7年／当選 1 回,1989/4/10,令和13年7月28日,こじか,ゾウ,猿,くろひょう,子守熊,"令和7年12月13日現在
厚生労働委員会
予算委員会
デジタル社会の形成及び人工知能の活用等に関する特別委員会",,284_新実 彰平.jpg
西田 英範,にした ひでのり,自民,選挙区（広島県）選出／令和7年／当選 1 回,1981/8/3,令和13年7月28日,ひつじ,くろひょう,子守熊,子守熊,狼,"令和7年12月13日現在
財政金融委員会
議院運営委員会
デジタル社会の形成及び人工知能の活用等に関する特別委員会
資源エネルギー・持続可能社会に関する調査会
憲法審査会",,285_西田 英範.jpg
庭田 幸恵,にわた ゆきえ,民主,選挙区（富山県）選出／令和7年／当選 1 回,1967/12/29,令和13年7月28日,ペガサス,子守熊,くろひょう,ペガサス,ゾウ,"令和7年12月13日現在
厚生労働委員会
政府開発援助及び国際協力・人道支援等に関する特別委員会
国際問題に関する調査会",,286_庭田 幸恵.jpg
芳賀 道也,はが みちや,民主,選挙区（山形県）選出／令和元年、7年／当選 2 回,1958/3/2,令和13年7月28日,猿,猿,ひつじ,猿,ペガサス,"令和7年12月13日現在
厚生労働委員会
行政監視委員会（長）
災害対策及び東日本大震災復興特別委員会","昭和３３年３月２日山形県山形市に生まれる。山形大学附属中学校・山形県立長井高等学校を経て、昭和５１年日本大学文理学部に入学。昭和５５年に卒業後、山形放送（株）に入社、アナウンサーとして「ズームイン！！朝！」の山形のキャスターを務めるなど様々なＴＶ・ラジオ番組のパーソナリティ・アナウンサーを担当。アナウンス責任者・報道制作局アナウンス統括部長を経て、制作部専任部長などを歴任。平成３１年２月２８日に山形放送（株）を退社。令和元年７月山形県選挙区より、参議院議員に初当選
（令和４年１１月３０日現在）",287_芳賀 道也.jpg
初鹿野 裕樹,はじかの ひろき,参政,選挙区（神奈川県）選出／令和7年／当選 1 回,1977/7/6,令和13年7月28日,ゾウ,チーター,子守熊,チーター,ライオン,"令和7年12月13日現在
総務委員会（理）
議院運営委員会
政府開発援助及び国際協力・人道支援等に関する特別委員会",,288_初鹿野 裕樹.jpg
原田 大二郎,はらだ だいじろう,公明,比例代表選出／令和7年／当選 1 回,1996/1/7,令和13年7月28日,くろひょう,猿,虎,ひつじ,くろひょう,"令和7年12月13日現在
総務委員会
予算委員会
こども・子育て・若者活躍に関する特別委員会
憲法審査会",,289_原田 大二郎.jpg
原田 秀一,はらだ ひでかず,民主,選挙区（香川県）選出／令和7年／当選 1 回,1972/12/25,令和13年7月28日,ゾウ,ペガサス,ゾウ,猿,チーター,"令和7年12月13日現在
財政金融委員会
災害対策及び東日本大震災復興特別委員会
国際問題に関する調査会（理）
憲法審査会",,290_原田 秀一.jpg
東野 秀樹,ひがしの ひでき,自民,比例代表選出／令和7年／当選 1 回,1930/7/9,令和13年7月28日,くろひょう,ライオン,チーター,子守熊,ひつじ,"令和7年12月13日現在
農林水産委員会
議院運営委員会
デジタル社会の形成及び人工知能の活用等に関する特別委員会
資源エネルギー・持続可能社会に関する調査会",,291_東野 秀樹.jpg
百田 尚樹,ひゃくた なおき,保守,比例代表選出／令和7年／当選 1 回,1956/2/23,令和13年7月28日,ペガサス,ライオン,ライオン,子守熊,狼,"令和7年12月13日現在
経済産業委員会
北朝鮮による拉致問題等に関する特別委員会
資源エネルギー・持続可能社会に関する調査会",,292_百田 尚樹.jpg
平戸 航太,ひらど こうた,民主,比例代表選出／令和7年／当選 1 回,1987/7/1,令和13年7月28日,子守熊,チーター,ペガサス,ライオン,虎,"令和7年12月13日現在
国土交通委員会
予算委員会
デジタル社会の形成及び人工知能の活用等に関する特別委員会",,293_平戸 航太.jpg
福士 珠美,ふくし ますみ,立憲,選挙区（青森県）選出／令和7年／当選 1 回,1965/3/24,令和13年7月28日,子守熊,ひつじ,虎,ゾウ,たぬき,"令和7年12月13日現在
経済産業委員会
行政監視委員会
災害対策及び東日本大震災復興特別委員会
国民生活・経済に関する調査会",,294_福士 珠美.jpg
福山 守,ふくやま まもる,自民,比例代表選出／令和7年／当選 1 回,1952/12/19,令和13年7月28日,ペガサス,狼,たぬき,くろひょう,チーター,"令和7年12月13日現在
法務委員会
資源エネルギー・持続可能社会に関する調査会
憲法審査会",,295_福山 守.jpg
松田 学,まつだ まなぶ,参政,比例代表選出／令和7年／当選 1 回,1957/11/11,令和13年7月28日,狼,狼,猿,たぬき,こじか,"令和7年12月13日現在
財政金融委員会
懲罰委員会（長）
北朝鮮による拉致問題等に関する特別委員会
政治倫理審査会",,296_松田 学.jpg
三上 えり,みかみ えり,立憲,選挙区（広島県）選出／令和4年／当選 1 回,1970/6/11,令和13年7月28日,狼,くろひょう,くろひょう,ライオン,狼,"令和7年12月13日現在
環境委員会（理）
議院運営委員会
北朝鮮による拉致問題等に関する特別委員会","１９７０年６月広島県広島市生まれ。広島市立井口中学校、広島県立広島井口高等学校卒業。サザンセミナリーカレッジ（米・バージニア州）卒業後、ＮＨＫでのアシスタントを経て、１９９６年ＴＳＳ（株式会社テレビ新広島）に入社。アナウンス部、報道部を経て、２０２２年に同局退社。約３０年間、仕事と２人の子どもの子育て、父親の介護を行い、女性も男性も働きやすい世の中に変えていく必要性を常に感じていた。報道部では県内各地をまわり多くの方々と出会い、それぞれの切実な声を受け止めた。そして、どんなに現場の声が小さくても、集まれば必ず大きな声となり社会を変えていくきっかけとなることを経験。現場の声の大切さを実感する。また、長年、広島から平和を訴える朗読ボランティアにも参加。被爆の実相の継承など積極的に活動を行う。２０２２年７月に行われた参議院広島県選出議員選挙にて初当選を果たした
（令和４年１１月３０日現在）",297_三上 えり.jpg
水野 孝一,みずの こういち,民主,選挙区（愛知県）選出／令和7年／当選 1 回,1976/10/27,令和13年7月28日,くろひょう,虎,ひつじ,チーター,たぬき,"令和7年12月13日現在
文教科学委員会
行政監視委員会
国民生活・経済に関する調査会（理）",,298_水野 孝一.jpg
宮崎 勝,みやざき まさる,公明,比例代表選出／平成28年、令和4年／当選 2 回,1958/3/18,令和13年7月28日,虎,ゾウ,こじか,ゾウ,こじか,"令和7年12月13日現在
総務委員会
決算委員会（理）
こども・子育て・若者活躍に関する特別委員会
国民生活・経済に関する調査会（理）","昭和３３年３月１８日埼玉県坂戸市生まれ。坂戸小学校、坂戸中学校、県立松山高校を経て、昭和５１年埼玉大学工学部に入学、同５７年に同大学卒業○昭和５７年公明新聞社入社。文化部、教宣部、報道部、論説部、政治部の記者として社会のさまざまな問題を掘り起こすルポルタージュや外交・安全保障など政治の最前線を取材。この間、国会議員訪問団の同行取材や党訪問団の一員として平成１１年北朝鮮、同１３年パキスタン、同１８年ロシアを訪問。同２０年政治部長、同２７年に編集局長を務め、同２８年７月に退職○環境大臣政務官（菅内閣、第１次岸田内閣）○現在環境委員会委員、消費者問題に関する特別委員会委員、予算委員会委員○公明党埼玉県本部副代表○当選２回（平２８令４）
（令和４年１１月３０日現在）",299_宮崎 勝.jpg
宮出 千慧,みやで ちさと,参政,選挙区（大阪府）選出／令和7年／当選 1 回,1985/3/15,令和13年7月28日,猿,くろひょう,くろひょう,子守熊,チーター,"令和7年12月13日現在
国土交通委員会
政治改革に関する特別委員会
国民生活・経済に関する調査会（理）
憲法審査会",,300_宮出 千慧.jpg
宮本 和宏,みやもと かずひろ,自民,選挙区（滋賀県）選出／令和7年／当選 1 回,1972/3/7,令和13年7月28日,子守熊,猿,ペガサス,ライオン,たぬき,"令和7年12月13日現在
文教科学委員会
予算委員会
災害対策及び東日本大震災復興特別委員会
資源エネルギー・持続可能社会に関する調査会
憲法審査会",,301_宮本 和宏.jpg
望月 良男,もちづき よしお,無所属,選挙区（和歌山県）選出／令和7年／当選 1 回,1972/4/19,令和13年7月28日,こじか,こじか,ゾウ,狼,子守熊,"令和7年12月13日現在
環境委員会",,302_望月 良男.jpg
森 ゆうこ,もり ゆうこ,立憲,比例代表選出／平成13年、19年、28年、令和7年／当選 4 回,1956/4/20,令和13年7月28日,たぬき,虎,チーター,こじか,虎,"令和7年12月13日現在
財政金融委員会（理）
北朝鮮による拉致問題等に関する特別委員会
情報監視審査会",,303_森 ゆうこ.jpg
山内 佳菜子,やまうち かなこ,立憲,選挙区（宮崎県）選出／令和7年／当選 1 回,1981/1/8,令和13年7月28日,こじか,ひつじ,子守熊,くろひょう,ライオン,"令和7年12月13日現在
厚生労働委員会
行政監視委員会
災害対策及び東日本大震災復興特別委員会
国民生活・経済に関する調査会",,304_山内 佳菜子.jpg
山崎 正昭,やまざき まさあき,自民,選挙区（福井県）選出／平成4年、10年、16年、22年、28年、令和4年／当選 6 回,1942/5/24,令和13年7月28日,虎,ひつじ,ライオン,ゾウ,ひつじ,"令和7年12月13日現在
法務委員会","昭和１７年５月２４日福井県に生まれ、同４０年３月日本大学法学部政治経済学科卒業○昭和５０年２月大野市議会議員、同５４年福井県議会議員、福井県議会議長、自民党福井県連会長○平成４年参議院議員に当選、大蔵政務次官、議院運営委員長、武力攻撃事態に関する特別委員長、内閣官房副長官、政府開発援助（ＯＤＡ）等に関する特別委員長、参議院自由民主党幹事長、参議院副議長、参議院議長を歴任○オーストラリア、シンガポール、フィリピン、アメリカ、カナダ、シリア、エジプト、東欧、北欧、北朝鮮、ブラジル、バルト三国、メキシコ、パナマ、ベトナムを歴訪○現在福井県土地改良事業団体連合会長、福井県スキー連盟会長、参議院モンゴル議員連盟会長、成田山奉山会第７代会長、昭和聖徳記念財団副会長
（令和４年１１月３０日現在）",305_山崎 正昭.jpg
山田 吉彦,やまだ よしひこ,民主,比例代表選出／令和7年／当選 1 回,1962/9/7,令和13年7月28日,子守熊,子守熊,猿,子守熊,虎,"令和7年12月13日現在
外交防衛委員会
国家基本政策委員会
沖縄・北方問題及び地方に関する特別委員会（理）
憲法審査会",,306_山田 吉彦.jpg
山中 泉,やまなか せん,参政,比例代表選出／令和7年／当選 1 回,1958/8/7,令和13年7月28日,たぬき,くろひょう,ひつじ,ひつじ,ペガサス,"令和7年12月13日現在
外交防衛委員会
決算委員会
政治改革に関する特別委員会",,307_山中 泉.jpg
吉田 忠智,よしだ ただとも,立憲,選挙区（大分県）選出／平成22年、令和元年、7年／当選 3 回,1956/3/7,令和13年7月28日,猿,子守熊,ゾウ,くろひょう,チーター,"令和7年12月13日現在
国土交通委員会
決算委員会
憲法審査会（幹）",,308_吉田 忠智.jpg
ラサール石井,らさーるいしい,立憲,比例代表選出／令和7年／当選 1 回,1955/10/19,令和13年7月28日,たぬき,くろひょう,ひつじ,子守熊,子守熊,"令和7年12月13日現在
文教科学委員会
予算委員会
こども・子育て・若者活躍に関する特別委員会
国際問題に関する調査会",,309_ラサール石井.jpg
蓮舫,れんほう,立憲,比例代表選出／平成16年、22年、28年、令和4年、7年／当選 5 回,1967/11/28,令和13年7月28日,ペガサス,子守熊,たぬき,虎,狼,"令和7年12月13日現在
国土交通委員会（理）
懲罰委員会",,310_蓮舫.jpg
若井 敦子,わかい あつこ,自民,選挙区（岐阜県）選出／令和7年／当選 1 回,1971/9/12,令和13年7月28日,虎,ゾウ,子守熊,くろひょう,こじか,"令和7年12月13日現在
国土交通委員会
議院運営委員会
デジタル社会の形成及び人工知能の活用等に関する特別委員会
国際問題に関する調査会
憲法審査会",,311_若井 敦子.jpg
脇 雅昭,わき まさあき,自民,選挙区（神奈川県）選出／令和7年／当選 1 回,1982/4/24,令和13年7月28日,たぬき,ひつじ,こじか,ゾウ,虎,"令和7年12月13日現在
総務委員会
予算委員会
災害対策及び東日本大震災復興特別委員会
国際問題に関する調査会
憲法審査会",,312_脇 雅昭.jpg
