氏名,ふりがな,会派,選挙区,当選回数,生年月日,表面,本質,意思決定,隠れ,希望
逢沢 一郎君,あいさわ いちろう,自民,岡山1,13,1954/6/10,ライオン,猿,ライオン,ライオン,ライオン
青柳 仁士君,あおやぎ ひとし,維新,大阪14,2,1978/11/7,たぬき,子守熊,ペガサス,くろひょう,子守熊
青柳 陽一郎君,あおやぎ よういちろう,立憲,神奈川6,5,1969/8/29,子守熊,狼,ゾウ,猿,ひつじ
青山 大人君,あおやま やまと,立憲,茨城6,3,1979/1/24,こじか,ペガサス,子守熊,ゾウ,ゾウ
赤澤 亮正君,あかざわ りょうせい,自民,鳥取2,7,1960/12/18,ゾウ,こじか,ゾウ,狼,チーター
赤羽 一嘉君,あかば かずよし,公明,兵庫2,10,1958/5/7,子守熊,ペガサス,こじか,たぬき,子守熊
あかま 二郎君,あかま じろう,自民,神奈川14,6,1968/3/27,チーター,子守熊,子守熊,虎,虎
赤嶺 政賢君,あかみね せいけん,共産,沖縄1,9,1947/12/18,猿,たぬき,チーター,こじか,ひつじ
阿久津 幸彦君,あくつ ゆきひこ,立憲,東京11,5,1956/6/26,ゾウ,チーター,ペガサス,チーター,ライオン
浅野 哲君,あさの さとし,国民,茨城5,3,1982/9/25,ライオン,チーター,くろひょう,ライオン,くろひょう
東 克哉君,あずま かつや,立憲,（比）中国,1,1981/9/30,ライオン,チーター,ライオン,ライオン,くろひょう
東 国幹君,あずま くによし,自民,北海道6,2,1968/2/17,ゾウ,虎,チーター,こじか,猿
東 徹君,あずま とおる,維新,大阪3,1（参2）,1966/9/16,猿,虎,ゾウ,猿,子守熊
安住 淳君,あずみ じゅん,立憲,宮城4,10,1962/1/17,たぬき,ライオン,たぬき,ひつじ,こじか
麻生 太郎君,あそう たろう,自民,福岡8,15,1940/9/20,ゾウ,猿,くろひょう,狼,猿
阿部 圭史君,あべ けいし,維新,（比）近畿,1,1986/5/26,猿,チーター,ペガサス,ひつじ,虎
阿部 司君,あべ つかさ,維新,（比）東京,2,1982/6/18,狼,猿,くろひょう,たぬき,狼
あべ 俊子君,あべ としこ,自民,（比）九州,7,1959/5/19,ゾウ,こじか,チーター,たぬき,こじか
阿部 知子君,あべ ともこ,立憲,神奈川12,9,1948/4/24,たぬき,子守熊,ペガサス,子守熊,ひつじ
阿部 弘樹君,あべ ひろき,維新,（比）九州,2,1961/12/15,虎,狼,たぬき,ゾウ,ひつじ
阿部 祐美子君,あべ ゆみこ,立憲,（比）東京,1,1964/9/30,チーター,狼,ひつじ,ゾウ,くろひょう
荒井 優君,あらい ゆたか,立憲,北海道3,2,1975/2/28,虎,チーター,ライオン,狼,ライオン
新垣 邦男君,あらかき くにお,立憲,沖縄2,2,1956/6/19,ライオン,虎,チーター,こじか,ライオン
有田 芳生君,ありた よしふ,立憲,（比）東京,1（参2）,1952/2/20,猿,子守熊,くろひょう,虎,こじか
安藤じゅん子君,あんどう じゅんこ,立憲,千葉6,1,,-,-,-,-,-
安藤 たかお君,あんどう たかお,自民,（比）東京,2,1959/4/1,黒ひょう,虎,猿,子守熊,チータ
五十嵐 えり君,いがらし えり,立憲,東京30,1,,-,-,-,-,-
五十嵐 清君,いがらし きよし,自民,（比）北関東,2,1925/5/12,ライオン,子守熊,こじか,虎,ゾウ
池下 卓君,いけした たく,維新,大阪10,2,1975/4/10,くろひょう,ひつじ,チーター,くろひょう,たぬき
池田 真紀君,いけだ まき,立憲,北海道5,2,1972/5/24,ライオン,子守熊,チータ,ひつじ,たぬき
池畑 浩太朗君,いけはた こうたろう,維新,（比）近畿,2,1974/9/26,虎,チーター,ペガサス,ひつじ,こじか
井坂 信彦君,いさか のぶひこ,立憲,兵庫1,4,1974/3/27,子守熊,子守熊,ゾウ,ペガサス,たぬき
石井 智恵君,いしい ともえ,国民,（比）四国,1,1967/11/16,猿,ペガサス,ひつじ,たぬき,チーター
石川 香織君,いしかわ かおり,立憲,北海道11,3,1984/5/10,子守熊,たぬき,チーター,ペガサス,子守熊
石田 真敏君,いしだ まさとし,自民,（比）近畿,9,1952/4/11,たぬき,狼,たぬき,たぬき,虎
石破 茂君,いしば しげる,自民,鳥取1,13,1957/2/4,ゾウ,くろひょう,猿,チーター,猿
石橋 林太郎君,いしばし りんたろう,自民,（比）中国,2,1978/5/2,たぬき,チーター,ゾウ,チーター,くろひょう
石原 宏高君,いしはら ひろたか,自民,東京3,6,1964/6/19,ライオン,狼,たぬき,くろひょう,ゾウ
泉 健太君,いずみ けんた,立憲,京都3,9,1974/7/29,たぬき,たぬき,狼,こじか,ライオン
市來 伴子君,いちき ともこ,立憲,（比）北関東,1,1977/8/2,たぬき,ペガサス,ゾウ,ゾウ,ライオン
市村 浩一郎君,いちむら こういちろう,維新,（比）近畿,5,1964/7/16,たぬき,猿,くろひょう,狼,ペガサス
井出 庸生君,いで ようせい,自民,（比）北陸信越,5,1977/11/21,ライオン,狼,ペガサス,ゾウ,虎
伊藤 俊輔君,いとう しゅんすけ,立憲,東京23,3,1979/8/5,たぬき,ひつじ,ひつじ,ペガサス,虎
伊藤 忠彦君,いとう ただひこ,自民,（比）東海,6,1964/7/11,たぬき,ライオン,ひつじ,チーター,ライオン
伊藤 達也君,いとう たつや,自民,（比）東京,10,1961/7/6,チーター,ゾウ,ひつじ,くろひょう,たぬき
伊東 信久君,いとう のぶひさ,維新,大阪19,4,1964/1/4,虎,虎,ゾウ,チーター,ひつじ
伊東 良孝君,いとう よしたか,自民,（比）北海道,6,1948/11/24,虎,くろひょう,ライオン,子守熊,たぬき
稲田 朋美君,いなだ ともみ,自民,福井1,7,1959/2/20,チーター,子守熊,虎,くろひょう,ひつじ
稲富 修二君,いなとみ しゅうじ,立憲,福岡2,4,1970/8/26,子守熊,猿,ひつじ,猿,虎
井野 俊郎君,いの としろう,自民,群馬2,5,1980/1/8,ひつじ,こじか,くろひょう,狼,くろひょう
井上 信治君,いのうえ しんじ,自民,東京25,8,1969/10/7,ペガサス,ライオン,ペガサス,ひつじ,くろひょう
井上 貴博君,いのうえ たかひろ,自民,福岡1,5,1962/4/2,チータ,ペガサス,狼,ひつじ,ライオン
井上 英孝君,いのうえ ひでたか,維新,大阪1,5,1971/10/25,たぬき,ひつじ,虎,猿,子守熊
猪口 幸子君,いのくち さちこ,維新,（比）東京,1,1956/7/14,こじか,狼,猿,ゾウ,こじか
井林 辰憲君,いばやし たつのり,自民,静岡2,5,1976/7/18,たぬき,たぬき,ひつじ,こじか,ライオン
今井 雅人君,いまい まさと,立憲,岐阜4,5,1962/2/21,ペガサス,ペガサス,ペガサス,猿,狼
今枝 宗一郎君,いまえだ そういちろう,自民,愛知14,5,1984/2/18,子守熊,狼,虎,ゾウ,チーター
岩田 和親君,いわた かずちか,自民,（比）九州,5,1973/9/20,猿,くろひょう,ひつじ,狼,ライオン
岩谷 良平君,いわたに りょうへい,維新,大阪13,2,1980/6/7,子守熊,チーター,虎,ライオン,虎
岩屋 毅君,いわや たけし,自民,大分3,10,1957/8/24,黒ひょう,ゾウ,子守熊,狼,虎
上田 英俊君,うえだ えいしゅん,自民,富山2,2,1965/1/22,こじか,狼,くろひょう,猿,ライオン
上野 賢一郎君,うえの けんいちろう,自民,滋賀2,6,1965/8/3,くろひょう,ひつじ,虎,虎,子守熊
上村 英明君,うえむら ひであき,れ新,（比）東海,1,1956/12/15,狼,くろひょう,子守熊,ひつじ,くろひょう
浮島 智子君,うきしま ともこ,公明,（比）近畿,5（参1）,1963/2/1,たぬき,ゾウ,虎,虎,こじか
臼木 秀剛君,うすき ひでたけ,国民,（比）北海道,1,1981/3/28,ライオン,チーター,ペガサス,狼,狼
梅谷 守君,うめたに まもる,立憲,新潟5,2,1973/12/9,ペガサス,子守熊,ひつじ,子守熊,チーター
梅村 聡君,うめむら さとし,維新,大阪5,1（参2）,1975/2/13,ペガサス,ペガサス,狼,猿,狼
浦野 靖人君,うらの やすと,維新,大阪15,5,1973/4/4,狼,チーター,ひつじ,ひつじ,ライオン
うるま 譲司君,うるま じょうじ,維新,大阪8,2,1974/9/14,虎,猿,ゾウ,ひつじ,子守熊
江田 憲司君,えだ けんじ,立憲,神奈川8,8,1956/4/28,くろひょう,たぬき,狼,子守熊,ペガサス
枝野 幸男君,えだの ゆきお,立憲,埼玉5,11,1964/5/31,猿,こじか,こじか,狼,虎
江渡 聡徳君,えと あきのり,自民,（比）東北,9,1955/10/12,ひつじ,虎,たぬき,子守熊,チーター
江藤 拓君,えとう たく,自民,宮崎2,8,1960/7/1,チーター,ペガサス,ゾウ,猿,たぬき
英利アルフィヤ君,えり あるふぃや,自民,（比）南関東,2,1988/10/16,こじか,たぬき,たぬき,ペガサス,ひつじ
遠藤 敬君,えんどう たかし,維新,大阪18,5,1968/6/6,ライオン,くろひょう,チーター,チーター,ライオン
遠藤 利明君,えんどう としあき,自民,山形1,10,1950/1/17,たぬき,虎,たぬき,チーター,ゾウ
大石 あきこ君,おおいし あきこ,れ新,（比）近畿,2,1977/5/27,子守熊,ペガサス,子守熊,たぬき,子守熊
大岡 敏孝君,おおおか としたか,自民,（比）近畿,5,1972/4/16,たぬき,ひつじ,ペガサス,ゾウ,虎
大河原まさこ君,おおかわら まさこ,立憲,東京21,3（参1）,1953/4/8,ひつじ,虎,たぬき,虎,ひつじ
大串 博志君,おおぐし ひろし,立憲,佐賀2,7,1965/8/31,チーター,虎,虎,こじか,チーター
大串 正樹君,おおぐし まさき,自民,（比）近畿,5,1966/1/20,ひつじ,子守熊,虎,子守熊,くろひょう
逢坂 誠二君,おおさか せいじ,立憲,北海道8,6,1959/4/24,くろひょう,狼,ペガサス,猿,たぬき
大島 敦君,おおしま あつし,立憲,埼玉6,9,1956/12/21,虎,くろひょう,猿,ライオン,ひつじ
大空 幸星君,おおぞら こうき,自民,（比）東京,1,1998/11/26,狼,ひつじ,ゾウ,ゾウ,こじか
おおたけりえ君,おおたけ りえ,立憲,（比）東海,1,,-,-,-,-,-
大塚 小百合君,おおつか さゆり,立憲,神奈川20,1,1980/1/16,こじか,狼,たぬき,くろひょう,こじか
おおつき紅葉君,おおつき くれは,立憲,北海道4,2,1983/10/16,こじか,ひつじ,狼,ゾウ,狼
大西 健介君,おおにし けんすけ,立憲,愛知13,6,1971/4/13,くろひょう,くろひょう,ペガサス,狼,チーター
大西 洋平君,おおにし ようへい,自民,東京16,1,1978/1/12,こじか,子守熊,黒ひょう,ライオン,狼
大野 敬太郎君,おおの けいたろう,自民,香川3,5,1968/11/1,ひつじ,ゾウ,狼,虎,チーター
大森 江里子君,おおもり えりこ,公明,（比）東京,1,1973/5/16,ペガサス,虎,たぬき,チーター,ライオン
岡島 一正君,おかじま かずまさ,立憲,（比）南関東,4,1957/11/3,こじか,子守熊,猿,子守熊,狼
岡田 克也君,おかだ かつや,立憲,三重3,12,1953/7/14,たぬき,猿,ライオン,狼,ペガサス
岡田 悟君,おかだ さとる,立憲,（比）近畿,1,1984/1/21,くろひょう,ライオン,猿,こじか,狼
岡田 華子君,おかだ はなこ,立憲,青森3,1,1980/8/2,くろひょう,くろひょう,チーター,チーター,くろひょう
緒方 林太郎君,おがた りんたろう,有志,福岡9,4,1973/1/8,くろひょう,たぬき,チーター,ペガサス,狼
岡野 純子君,おかの じゅんこ,国民,（比）南関東,1,1978/6/10,ペガサス,猿,ペガサス,ひつじ,こじか
岡本 あき子君,おかもと あきこ,立憲,宮城1,3,1964/8/16,チーター,猿,たぬき,ライオン,チーター
岡本 三成君,おかもと みつなり,公明,東京29,5,1965/5/5,たぬき,くろひょう,虎,狼,ひつじ
岡本 充功君,おかもと みつのり,立憲,愛知9,6,1971/6/18,ゾウ,こじか,猿,ライオン,ライオン
小川 淳也君,おがわ じゅんや,立憲,香川1,7,1971/4/18,こじか,子守熊,虎,くろひょう,猿
奥下 剛光君,おくした たけみつ,維新,大阪7,2,1975/10/4,子守熊,ひつじ,猿,猿,ゾウ
奥野 総一郎君,おくの そういちろう,立憲,千葉9,6,1964/7/15,こじか,たぬき,くろひょう,子守熊,ゾウ
小熊 慎司君,おぐま しんじ,立憲,福島3,5（参1）,1968/6/16,ライオン,虎,チーター,こじか,ライオン
尾崎 正直君,おざき まさなお,自民,高知2,2,1967/9/14,ライオン,ゾウ,たぬき,ペガサス,くろひょう
小沢 一郎君,おざわ いちろう,立憲,岩手3,19,1942/5/24,虎,ひつじ,ライオン,ゾウ,ひつじ
小竹 凱君,おだけ かい,国民,（比）北陸信越,1,1998/5/17,子守熊,チーター,ライオン,チーター,子守熊
落合 貴之君,おちあい たかゆき,立憲,東京6,4,1979/8/17,子守熊,くろひょう,たぬき,ひつじ,ひつじ
尾辻 かな子君,おつじ かなこ,立憲,（比）近畿,2（参1）,1974/12/16,猿,ペガサス,狼,ゾウ,ひつじ
鬼木 誠君,おにき まこと,自民,（比）九州,5,1972/10/16,こじか,ゾウ,たぬき,狼,猿
小野寺 五典君,おのでら いつのり,自民,宮城5,9,1960/5/5,狼,狼,ライオン,狼,虎
小渕 優子君,おぶち ゆうこ,自民,群馬5,9,1973/12/11,猿,ゾウ,こじか,ペガサス,ひつじ
海江田 万里君,かいえだ ばんり,立憲,東京1,9,1949/2/26,ゾウ,狼,ひつじ,たぬき,猿
河西 宏一君,かさい こういち,公明,（比）東京,2,1979/6/25,ペガサス,虎,ひつじ,虎,こじか
梶山 弘志君,かじやま ひろし,自民,茨城4,9,1955/10/18,くろひょう,虎,こじか,チーター,たぬき
勝俣 孝明君,かつまた たかあき,自民,（比）東海,5,1976/4/7,たぬき,ひつじ,たぬき,虎,ひつじ
勝目 康君,かつめ やすし,自民,京都1,2,1974/5/17,ライオン,虎,猿,ひつじ,たぬき
加藤 鮎子君,かとう あゆこ,自民,山形3,4,1979/4/19,黒ひょう,たぬき,黒ひょう,ひつじ,たぬき
加藤 勝信君,かとう かつのぶ,自民,岡山3,8,1955/11/22,狼,狼,くろひょう,たぬき,こじか
加藤 竜祥君,かとう りゅうしょう,自民,長崎2,2,1980/2/10,チーター,くろひょう,ゾウ,子守熊,ひつじ
金子 恵美君,かねこ えみ,立憲,福島1,4（参1）,1965/7/7,黒ひょう,ペガサス,こじか,ライオン,こじか
金子 恭之君,かねこ やすし,自民,熊本4,9,1961/2/27,狼,ペガサス,こじか,ゾウ,チーター
金子 容三君,かねこ ようぞう,自民,長崎3,2,1983/2/1,ひつじ,ライオン,たぬき,子守熊,くろひょう
金村 龍那君,かねむら りゅうな,維新,（比）南関東,2,1979/4/6,こじか,猿,ひつじ,ひつじ,猿
鎌田 さゆり君,かまた さゆり,立憲,宮城2,4,1965/1/8,たぬき,くろひょう,ひつじ,ライオン,ゾウ
上川 陽子君,かみかわ ようこ,自民,静岡1,8,1953/3/1,狼,チーター,ゾウ,ライオン,チーター
神谷 裕君,かみや ひろし,立憲,北海道10,3,1968/8/10,猿,虎,猿,チーター,猿
亀井 亜紀子君,かめい あきこ,立憲,島根1,3（参1）,1965/5/14,黒ひょう,ライオン,ライオン,狼,たぬき
川内 博史君,かわうち ひろし,立憲,鹿児島1,8,1961/11/2,こじか,狼,ひつじ,くろひょう,狼
川崎 ひでと君,かわさき ひでと,自民,（比）東海,2,1981/11/4,ひつじ,ひつじ,ゾウ,くろひょう,チーター
川原田 英世君,かわはらだ えいせい,立憲,（比）北海道,1,1983/1/12,ひつじ,ゾウ,たぬき,くろひょう,くろひょう
河村 たかし君,かわむら たかし,保守,愛知1,6,1948/11/3,くろひょう,ひつじ,虎,ペガサス,たぬき
神田 潤一君,かんだ じゅんいち,自民,青森2,2,1970/9/27,虎,たぬき,たぬき,虎,こじか
城井 崇君,きい たかし,立憲,福岡10,5,1973/6/23,チーター,ペガサス,ひつじ,猿,たぬき
城内 実君,きうち みのる,自民,静岡7,7,1965/4/19,こじか,猿,狼,ひつじ,猿
黄川田 仁志君,きかわだ ひとし,自民,埼玉3,5,1970/10/13,ひつじ,猿,ひつじ,狼,チーター
菊田 真紀子君,きくた まきこ,立憲,新潟2,8,1969/10/24,くろひょう,猿,チーター,たぬき,たぬき
菊池 大二郎君,きくち だいじろう,国民,（比）東北,1,1982/7/9,ひつじ,狼,たぬき,狼,狼
岸 信千世君,きし のぶちよ,自民,山口2,2,1991/5/16,ライオン,ひつじ,たぬき,くろひょう,ゾウ
岸田 文雄君,きしだ ふみお,自民,広島1,11,1957/7/29,子守熊,チータ,こじか,こじか,こじか
岸田 光広君,きしだ みつひろ,国民,（比）北関東,1,1967/2/26,狼,ライオン,たぬき,チーター,チーター
北神 圭朗君,きたがみ けいろう,有志,京都4,5,1967/2/1,こじか,子守熊,虎,虎,ライオン
北野 裕子君,きたの ゆうこ,参政,（比）近畿,1,1985/9/19,ライオン,ライオン,こじか,チーター,くろひょう
木原 誠二君,きはら せいじ,自民,東京20,6,1970/6/8,ライオン,くろひょう,こじか,狼,ゾウ
木原 稔君,きはら みのる,自民,熊本1,6,1969/8/12,チーター,くろひょう,猿,狼,たぬき
吉良 州司君,きら しゅうじ,有志,大分1,7,1958/3/16,ゾウ,ひつじ,くろひょう,ペガサス,子守熊
金城 泰邦君,きんじょう やすくに,公明,（比）九州,2,1969/7/16,こじか,ひつじ,チーター,ペガサス,こじか
草間 剛君,くさま つよし,自民,神奈川19,1,1982/1/16,ひつじ,狼,猿,くろひょう,くろひょう
櫛渕 万里君,くしぶち まり,れ新,（比）東京,3,1967/10/15,くろひょう,虎,こじか,チーター,たぬき
工藤 彰三君,くどう しょうぞう,自民,（比）東海,5,1964/12/8,猿,ペガサス,ひつじ,ゾウ,ひつじ
国定 勇人君,くにさだ いさと,自民,（比）北陸信越,2,1972/8/30,ゾウ,狼,ライオン,狼,ペガサス
国光 あやの君,くにみつ あやの,自民,（比）北関東,3,1979/3/20,ひつじ,たぬき,チータ,黒ひょう,虎
栗原 渉君,くりはら わたる,自民,福岡5,1,1965/9/27,狼,ペガサス,子守熊,たぬき,ゾウ
